Date,Price,Open,High,Low,Vol.,Change %
5-May-15,2084,2109.5,2111.75,2081.5,1.59M,-1.20%
4-May-15,2109.25,2101.75,2115,2098,1.00M,0.37%
1-May-15,2101.5,2082.75,2102.5,2080.5,1.02M,1.08%
30-Apr-15,2079,2098.25,2102,2070.25,2.03M,-0.95%
29-Apr-15,2099,2110.75,2112.5,2090.5,1.74M,-0.62%
28-Apr-15,2112,2103.75,2112.5,2088.25,1.48M,0.34%
27-Apr-15,2104.75,2113.25,2119.75,2100.25,1.21M,-0.33%
24-Apr-15,2111.75,2107.5,2114.75,2103,958.31K,0.23%
23-Apr-15,2107,2099.25,2114.5,2087.5,1.36M,0.32%
22-Apr-15,2100.25,2092,2103.75,2080.25,1.19M,0.44%
21-Apr-15,2091,2089.5,2105.25,2087.25,1.05M,0.00%
20-Apr-15,2091,2081,2097.5,2078.5,1.12M,0.75%
17-Apr-15,2075.5,2101.25,2101.75,2064.5,1.82M,-1.20%
16-Apr-15,2100.75,2101.5,2104.75,2089,1.11M,0.05%
15-Apr-15,2099.75,2091.75,2105.5,2087.25,1.05M,0.42%
14-Apr-15,2091,2087,2092.75,2075.75,1.27M,0.22%
13-Apr-15,2086.5,2095.25,2101.25,2085.25,1.08M,-0.43%
10-Apr-15,2095.5,2086,2096.25,2083,880.53K,0.47%
9-Apr-15,2085.75,2077.75,2087,2066.75,1.21M,0.47%
8-Apr-15,2076,2068.5,2080.25,2064.5,1.22M,0.40%
7-Apr-15,2067.75,2071.5,2082.75,2066,1.05M,-0.27%
6-Apr-15,2073.25,2039.5,2080,2038.75,948.45K,0.67%
3-Apr-15,2059.5,2060,2063.75,2038,95.92K,0.00%
2-Apr-15,2059.5,2055.25,2064.75,2044,1.05M,0.32%
1-Apr-15,2053,2058,2060.75,2033.5,1.82M,-0.38%
31-Mar-15,2060.75,2074.75,2076.75,2056.25,1.60M,-0.71%
30-Mar-15,2075.5,2052.75,2081.75,2047.25,1.24M,1.12%
27-Mar-15,2052.5,2050,2057.75,2041,1.16M,0.20%
26-Mar-15,2048.5,2056,2058.75,2033.25,1.84M,-0.26%
25-Mar-15,2053.75,2085.25,2089.25,2052.25,1.78M,-1.50%
24-Mar-15,2085,2094,2101,2083,1.19M,-0.47%
23-Mar-15,2094.75,2097.75,2107,2093.25,957.58K,-0.20%
20-Mar-15,2099.02,2088.5,2105.5,2086.5,-,0.41%
19-Mar-15,2090.5,2101,2107.25,2085,341.01K,-0.48%
18-Mar-15,2100.5,2074.25,2107.75,2060.5,644.41K,1.25%
17-Mar-15,2074.5,2074.5,2078.75,2064.25,953.28K,-0.10%
16-Mar-15,2076.5,2050.75,2081.75,2044.5,946.44K,1.31%
13-Mar-15,2049.75,2064.25,2068.75,2040,1.21M,-0.69%
12-Mar-15,2064,2042,2066.5,2038.25,1.63M,1.20%
11-Mar-15,2039.5,2044.25,2052.25,2038.25,1.71M,-0.12%
10-Mar-15,2042,2077.5,2078,2041.25,1.90M,-1.72%
9-Mar-15,2077.75,2073.5,2082.5,2066,1.19M,0.34%
6-Mar-15,2070.75,2099.5,2103.5,2065.5,1.90M,-1.38%
5-Mar-15,2099.75,2096.5,2103.5,2093.25,1.10M,0.16%
4-Mar-15,2096.5,2104.75,2104.75,2085.25,1.49M,-0.39%
3-Mar-15,2104.75,2114,2114.5,2095.5,1.36M,-0.44%
2-Mar-15,2114,2104,2115.5,2100.5,1.08M,0.54%
27-Feb-15,2102.75,2109.5,2111,2100.75,1.21M,-0.34%
26-Feb-15,2110,2110.5,2114.75,2101.5,1.18M,-0.01%
25-Feb-15,2110.25,2113.75,2117.75,2107.25,974.71K,-0.17%
24-Feb-15,2113.75,2106.25,2115.75,2102.75,1.08M,0.33%
23-Feb-15,2106.75,2107.25,2108.25,2099.75,849.70K,-0.01%
20-Feb-15,2107,2096,2108.75,2082.25,1.65M,0.56%
19-Feb-15,2095.25,2095.25,2099.5,2087.25,1.14M,-0.01%
18-Feb-15,2095.5,2096.5,2098.5,2088.5,1.09M,-0.02%
17-Feb-15,2096,2091.25,2098.75,2080.75,1.23M,0.57%
16-Feb-15,2084.15,2089.45,2093.65,2081.65,-,-0.26%
15-Feb-15,2089.65,2091.65,2093.65,2089.65,-,-0.18%
13-Feb-15,2093.5,2083,2095,2081.5,1.22M,0.46%
12-Feb-15,2084,2071.5,2085.5,2058.5,1.43M,0.88%
11-Feb-15,2065.75,2062.75,2079.5,2053.25,1.30M,0.17%
